age,steps_per_day,active_minutes,sedentary_minutes,sleep_hours,sleep_quality,stress_level,workouts_per_week,diet_quality,hydration_liters,bmi,heart_rate_resting,heart_rate_avg,calories_burned,consistency_score,lifestyle_category,fitness_level
20,4740,17,1143,5.33,6.23,7.97,1,2.54,3.7,31.92,70.7,102.2,1500.0,7.71,Sedentary,Unfit
39,7665,54,1098,5.24,3.76,8.71,4,5.95,2.59,16.34,68.3,107.4,1500.0,4.32,Active,Unfit
19,1000,10,1050,8.57,8.28,2.23,4,7.01,1.49,40.0,77.7,117.1,1500.0,3.15,Active,Unfit
41,8606,87,995,6.46,5.3,6.3,3,3.48,1.29,25.95,59.7,92.2,1500.0,9.6,Active,Moderate
61,5452,61,1110,4.72,4.41,9.11,4,3.27,3.77,27.53,71.3,105.2,1500.0,3.36,Active,Unfit
47,2859,30,1018,7.84,6.59,5.3,2,4.26,0.5,27.9,70.6,102.4,1500.0,8.45,Active,Unfit
55,7909,72,1026,7.51,5.61,8.79,0,6.92,2.87,24.31,66.2,105.4,1500.0,7.87,Sedentary,Unfit
19,8003,74,1128,5.84,5.22,6.25,6,7.88,2.34,22.38,63.8,102.3,1500.0,8.03,Athlete,Moderate
38,8834,83,1054,7.54,6.48,7.48,2,2.95,2.8,19.22,63.1,96.6,1500.0,9.24,Active,Moderate
50,10545,99,975,4.25,1.1,7.27,0,3.39,3.23,16.0,60.2,98.4,1500.0,2.75,Sedentary,Unfit
29,6576,84,895,5.65,4.04,8.41,4,10.0,4.46,25.52,67.5,118.0,1500.0,7.11,Active,Moderate
39,5820,64,1083,7.81,7.9,3.48,0,6.12,2.88,25.69,67.0,124.3,1500.0,5.9,Sedentary,Moderate
61,1777,10,1070,5.96,3.42,8.88,1,9.63,2.51,37.2,78.4,116.7,1500.0,5.62,Sedentary,Unfit
42,1000,21,1191,7.01,8.6,2.65,0,2.71,1.16,35.93,75.7,102.0,1500.0,2.5,Sedentary,Unfit
44,8123,44,1121,7.06,9.39,6.55,2,4.57,2.37,22.32,60.1,90.3,1500.0,6.8,Active,Moderate
59,3941,67,1087,5.95,9.55,4.89,6,5.52,3.46,27.17,73.7,117.7,1500.0,3.9,Athlete,Unfit
45,9147,87,1126,7.37,10.0,3.67,0,6.9,1.17,16.0,59.2,91.6,1500.0,3.57,Sedentary,Moderate
33,7671,83,1200,5.14,5.03,7.1,2,7.33,2.72,20.37,60.2,102.8,1500.0,8.36,Active,Moderate
32,5801,47,851,7.75,6.25,5.87,2,4.97,0.79,27.37,67.2,102.7,1500.0,8.99,Active,Moderate
64,5101,28,1170,7.72,5.43,6.01,1,7.7,1.92,33.76,65.6,80.8,1500.0,7.75,Sedentary,Unfit
61,3374,19,1068,7.01,6.41,4.75,5,3.18,2.8,29.24,71.5,109.5,1500.0,8.43,Athlete,Unfit
20,7953,109,970,6.94,9.7,2.69,3,3.0,3.73,20.64,65.7,114.6,1500.0,1.28,Active,Moderate
54,10318,100,1042,6.14,3.91,5.14,1,5.06,1.93,16.21,66.9,117.8,1500.0,7.45,Sedentary,Moderate
24,7526,59,1143,3.85,7.54,4.83,5,4.1,2.52,17.41,65.9,101.9,1500.0,7.34,Athlete,Fit
38,1533,25,1079,7.29,8.48,5.39,3,4.36,2.17,35.81,81.6,110.0,1500.0,6.75,Active,Unfit
26,6103,80,1170,6.17,7.06,2.92,1,10.0,3.58,24.35,69.3,113.4,1500.0,7.38,Sedentary,Moderate
56,5605,54,1009,7.74,6.7,7.83,1,4.11,1.43,28.2,67.7,114.3,1500.0,8.35,Sedentary,Unfit
35,7181,82,1102,6.75,6.47,3.9,3,4.08,2.08,26.28,70.3,109.9,1500.0,8.37,Active,Moderate
21,7165,81,1042,6.78,5.1,6.15,2,5.46,1.47,27.34,62.9,103.2,1500.0,8.8,Active,Moderate
42,6886,61,1045,5.74,8.22,3.53,5,10.0,3.79,23.23,61.8,88.9,1500.0,5.52,Athlete,Moderate
31,5459,57,1115,5.71,6.58,6.82,2,4.04,2.36,29.97,72.4,109.5,1500.0,9.05,Active,Unfit
26,5201,45,1065,7.07,6.75,8.9,2,7.24,3.59,24.53,74.4,106.6,1500.0,6.37,Active,Unfit
43,7719,105,1013,5.09,5.68,7.39,2,2.1,3.5,20.89,67.5,106.5,1500.0,7.72,Active,Moderate
19,7340,71,1036,5.31,7.12,8.45,4,7.2,4.13,22.99,67.8,97.4,1500.0,9.19,Active,Moderate
37,5048,56,1167,6.44,6.84,7.56,6,7.24,3.22,26.19,70.6,105.8,1500.0,8.2,Athlete,Moderate
45,10415,85,1133,6.9,8.33,4.78,2,3.73,3.69,16.0,57.1,89.6,1500.0,7.2,Active,Moderate
64,4931,86,1060,6.31,5.2,8.15,0,1.52,2.59,29.32,69.3,103.0,1500.0,7.84,Sedentary,Fit
24,8134,71,1067,7.81,9.33,4.45,2,8.22,2.88,23.46,64.3,105.1,1500.0,7.58,Active,Unfit
61,5870,78,1098,6.07,8.06,4.89,1,6.38,1.9,27.44,70.2,110.3,1500.0,7.3,Sedentary,Moderate
25,7540,62,1126,5.83,5.85,7.02,4,3.07,0.76,21.29,62.3,123.7,1500.0,8.84,Active,Unfit
64,4745,42,1074,8.06,8.8,4.07,3,9.37,2.51,28.83,71.0,104.8,1500.0,4.51,Active,Moderate
52,4224,42,1097,8.29,9.29,4.5,0,5.54,3.28,29.01,73.6,113.1,1500.0,5.05,Sedentary,Unfit
31,5141,59,1083,5.55,6.87,4.95,7,4.98,2.82,33.06,76.1,130.3,1500.0,8.39,Athlete,Unfit
34,5308,66,1063,6.71,8.4,6.31,1,3.04,2.42,29.01,67.4,106.2,1500.0,7.55,Sedentary,Unfit
53,6095,69,1066,4.47,4.84,5.84,3,5.38,3.75,26.43,68.0,108.2,1500.0,9.3,Active,Unfit
57,7491,89,1060,7.03,7.87,6.0,1,8.59,3.1,23.23,63.7,109.3,1500.0,7.43,Sedentary,Moderate
21,10444,109,1029,4.92,1.57,9.36,3,6.9,3.51,16.44,55.9,91.7,1500.0,1.8,Active,Unfit
19,7454,74,1200,5.46,2.75,6.64,4,2.79,2.19,20.58,64.8,102.3,1500.0,6.98,Active,Unfit
23,7352,60,1107,3.99,4.32,6.13,2,3.45,3.7,32.56,66.6,102.7,1500.0,8.18,Active,Fit
59,5655,64,968,6.42,7.74,3.22,2,7.22,2.81,29.66,64.3,107.4,1500.0,6.35,Active,Moderate
21,4938,26,1177,4.53,5.58,7.45,3,5.22,2.77,28.37,68.6,109.5,1500.0,10.0,Active,Unfit
46,5700,69,1196,5.36,5.88,4.81,3,7.27,2.57,28.64,66.4,104.7,1500.0,8.93,Active,Moderate
35,2568,37,1125,7.01,7.72,7.71,4,4.46,2.31,35.25,75.9,135.1,1500.0,8.98,Active,Unfit
43,10368,100,1030,8.04,5.76,2.69,5,4.63,2.43,20.15,58.8,100.1,1500.0,6.3,Athlete,Moderate
61,8395,83,987,6.45,6.35,4.58,2,7.91,3.25,23.55,65.6,112.7,1500.0,7.82,Active,Moderate
51,6376,62,1094,6.47,7.61,4.09,6,7.94,2.52,27.11,70.0,122.7,1500.0,5.45,Athlete,Moderate
27,7919,40,1153,5.8,5.74,5.61,3,5.6,2.48,21.23,62.8,108.3,1500.0,10.0,Active,Unfit
53,6885,74,1030,7.24,6.28,6.25,6,5.92,3.58,24.8,62.9,94.6,1500.0,10.0,Athlete,Moderate
31,13306,150,985,5.47,3.47,7.21,4,7.79,2.44,16.0,51.3,106.9,1500.0,6.06,Active,Moderate
48,9278,113,1092,8.71,9.86,4.86,2,5.41,2.31,21.27,61.5,108.0,1500.0,5.21,Active,Moderate
32,9799,118,973,7.93,6.45,7.48,6,5.64,3.18,17.89,62.1,102.8,1500.0,8.78,Athlete,Moderate
25,6730,83,1037,6.37,4.65,7.18,3,6.96,1.13,25.17,61.8,97.9,1500.0,7.25,Active,Moderate
31,10856,132,1045,5.41,6.64,7.24,4,4.31,2.74,16.0,65.0,114.3,1500.0,8.29,Active,Unfit
40,8422,79,1107,6.34,5.39,9.3,3,6.17,2.44,22.3,67.5,93.3,1500.0,6.94,Active,Fit
57,5297,61,1031,4.49,4.0,10.0,1,6.51,2.92,28.11,69.3,113.4,1500.0,4.38,Sedentary,Fit
38,8722,98,1100,5.63,6.47,7.39,2,3.7,0.91,20.49,63.0,95.4,1500.0,10.0,Active,Moderate
33,5844,56,1065,4.05,3.65,7.51,2,6.49,2.42,25.27,70.3,109.4,1500.0,6.79,Active,Unfit
62,8325,89,1060,6.23,6.12,5.95,2,6.77,2.97,24.03,61.3,100.3,1500.0,9.27,Active,Moderate
35,5291,52,1139,4.34,6.93,6.62,3,8.35,3.29,33.3,67.6,108.7,1500.0,7.84,Active,Unfit
64,5583,54,1136,7.07,7.55,6.6,1,2.61,2.69,25.79,67.2,101.0,1500.0,7.93,Sedentary,Unfit
41,7876,82,1009,7.76,8.1,7.7,2,8.02,4.55,23.93,62.9,114.4,1500.0,7.42,Active,Moderate
43,7512,86,1156,6.94,4.82,7.1,3,4.7,2.41,26.76,66.4,100.4,1500.0,6.53,Active,Moderate
42,5790,53,1049,7.61,8.15,5.74,5,6.92,1.99,21.92,67.5,102.1,1500.0,7.72,Athlete,Moderate
62,5976,43,1116,5.14,3.72,7.4,2,2.43,2.45,28.06,65.7,101.6,1500.0,8.2,Active,Unfit
58,6151,72,1200,6.1,5.86,4.63,3,6.9,2.49,24.06,63.7,103.6,1500.0,7.57,Active,Fit
46,5963,62,1114,7.66,7.26,3.97,5,9.09,3.16,25.08,70.3,108.9,1500.0,5.02,Athlete,Moderate
32,6604,81,1044,6.59,6.72,8.19,6,7.43,3.55,23.56,65.9,101.3,1500.0,8.81,Athlete,Moderate
62,7760,50,1090,7.12,6.74,8.43,2,5.58,1.43,21.93,66.5,103.1,1500.0,7.34,Active,Moderate
18,6107,57,1108,6.17,5.45,5.89,6,8.47,3.62,25.98,73.9,109.2,1500.0,10.0,Athlete,Moderate
42,1000,19,1054,5.89,4.44,7.65,4,3.02,3.36,37.49,84.8,127.4,1500.0,7.77,Active,Unfit
24,4306,47,1076,4.49,2.66,7.58,2,1.95,2.68,27.13,72.5,112.4,1500.0,6.15,Active,Unfit
26,8821,74,1073,5.18,5.28,8.69,3,6.96,1.37,21.61,62.1,104.2,1500.0,6.8,Active,Moderate
41,5027,42,1119,6.84,5.65,5.87,4,5.69,0.94,31.54,65.0,112.4,1500.0,10.0,Active,Unfit
18,8245,87,1117,6.27,8.73,6.71,2,9.1,2.11,21.87,64.1,108.4,1500.0,6.27,Active,Moderate
61,10961,103,1058,8.47,10.0,3.5,1,8.3,1.63,16.0,55.9,97.2,1500.0,2.76,Sedentary,Moderate
25,4280,48,1191,6.32,8.04,3.34,4,9.31,3.97,34.36,67.4,81.3,1500.0,6.47,Active,Moderate
41,7298,71,1125,4.83,4.58,5.85,5,8.24,3.32,22.92,68.1,116.9,1500.0,10.0,Athlete,Unfit
28,3854,21,1129,7.94,5.71,5.32,2,8.43,1.54,35.27,70.2,113.3,1500.0,9.69,Active,Unfit
34,7937,61,978,6.61,9.73,2.53,4,10.0,2.02,26.27,64.4,104.3,1500.0,2.54,Active,Fit
25,8442,74,1071,6.36,4.33,6.22,1,8.57,2.23,22.01,63.1,119.4,1500.0,8.55,Sedentary,Moderate
52,7552,89,1091,6.42,6.2,5.83,4,5.38,3.32,19.35,62.2,95.0,1500.0,9.35,Active,Moderate
52,7364,67,1045,7.84,8.97,5.03,4,3.12,1.26,25.95,66.5,105.5,1500.0,4.75,Active,Moderate
50,7036,87,1117,7.44,8.94,2.57,1,6.63,1.63,24.41,61.5,101.7,1500.0,3.09,Sedentary,Moderate
22,5192,50,1073,6.51,5.93,7.3,2,6.42,3.76,27.63,68.4,99.6,1500.0,6.57,Active,Unfit
59,4480,45,1120,5.69,4.13,7.83,0,4.37,2.53,27.53,70.4,80.0,1500.0,7.26,Sedentary,Unfit
56,11531,135,994,6.05,6.97,3.57,4,5.6,2.84,16.0,59.4,98.0,1500.0,7.19,Active,Moderate
58,1247,26,1001,6.77,5.88,7.48,4,5.65,3.45,40.0,79.6,142.0,1500.0,7.81,Active,Unfit
45,7243,82,1039,5.59,5.69,8.3,6,3.62,2.4,30.89,67.1,83.4,1500.0,8.23,Athlete,Unfit
24,1843,18,1200,7.41,8.72,4.87,5,4.53,3.33,29.06,70.2,112.4,1500.0,5.2,Athlete,Unfit
26,5987,53,1094,7.67,9.51,6.05,2,4.72,2.54,22.54,70.8,123.9,1500.0,4.98,Active,Moderate
25,2679,13,1041,6.73,4.88,5.21,4,7.15,2.31,35.53,75.0,106.1,1500.0,10.0,Active,Unfit
29,11132,118,1138,6.47,7.0,2.68,2,5.27,1.99,20.12,57.7,89.3,1500.0,5.85,Active,Moderate
51,9695,114,983,5.4,7.37,7.16,7,6.39,1.79,21.12,60.6,90.6,1500.0,9.21,Athlete,Moderate
50,4610,61,1045,7.25,6.65,5.96,3,6.66,1.9,25.74,67.3,98.4,1500.0,8.59,Active,Moderate
40,7069,64,1082,6.03,6.0,5.87,1,5.63,2.65,27.0,65.6,95.7,1500.0,8.48,Sedentary,Moderate
41,7281,92,1026,6.43,7.28,4.96,4,6.52,1.85,21.28,60.4,108.4,1500.0,7.41,Active,Moderate
54,4616,26,1131,7.23,7.54,6.99,5,3.84,3.3,31.49,70.6,101.0,1500.0,10.0,Athlete,Unfit
52,4394,49,957,5.86,5.13,4.54,2,5.41,2.96,25.9,70.0,104.1,1500.0,8.93,Active,Unfit
61,6851,75,1138,9.33,9.39,3.1,1,3.56,1.05,26.57,69.6,104.5,1500.0,3.15,Sedentary,Moderate
57,5650,76,1098,3.77,2.72,9.89,0,1.0,2.86,30.09,69.6,93.3,1500.0,1.02,Sedentary,Unfit
39,6450,68,1134,6.52,6.02,5.47,4,7.1,2.55,24.6,66.5,95.3,1500.0,8.33,Active,Moderate
44,7261,72,1010,9.07,10.0,1.55,1,3.66,2.85,30.22,61.0,99.9,1500.0,1.0,Sedentary,Moderate
52,5519,40,1043,4.73,4.8,7.6,3,4.86,2.14,27.7,70.1,93.1,1500.0,7.8,Active,Unfit
18,3586,29,1172,7.15,6.53,6.36,2,2.27,2.4,30.32,80.3,113.8,1500.0,9.44,Active,Unfit
52,6679,60,1111,5.25,2.8,9.25,6,7.84,1.93,25.71,70.2,103.9,1500.0,3.22,Athlete,Unfit
54,8726,60,1101,6.09,6.16,5.79,2,8.91,3.84,16.82,58.8,95.9,1500.0,9.91,Active,Moderate
64,9939,134,1133,6.83,5.72,6.06,0,5.88,3.06,16.5,62.2,95.0,1500.0,8.94,Sedentary,Moderate
31,10558,126,1014,6.72,7.05,5.21,2,5.29,1.78,16.0,64.4,106.2,1500.0,5.41,Active,Moderate
20,8530,100,996,7.0,5.69,3.91,5,6.13,2.4,17.2,63.2,99.6,1500.0,8.33,Athlete,Moderate
18,8307,97,982,6.72,10.0,3.82,3,4.19,2.71,17.69,63.2,94.6,1500.0,4.46,Active,Moderate
22,7341,70,1015,7.5,8.75,3.04,2,3.55,1.32,24.93,65.8,121.9,1500.0,2.03,Active,Moderate
43,9238,78,1119,6.59,5.64,5.51,4,5.31,3.25,22.71,61.3,103.2,1500.0,9.72,Active,Moderate
31,4457,35,1116,4.86,2.68,8.1,1,5.65,2.87,33.4,67.7,109.0,1500.0,2.62,Sedentary,Unfit
56,2930,23,1077,4.62,4.85,2.65,1,5.16,1.92,32.16,72.3,116.4,1500.0,9.45,Sedentary,Moderate
44,7499,73,1159,6.51,6.66,6.97,2,4.05,2.18,25.03,67.8,101.3,1500.0,9.69,Active,Unfit
26,6762,71,1105,6.6,3.17,8.34,1,2.9,1.88,29.11,62.9,105.3,1500.0,4.44,Sedentary,Fit
32,8411,89,1086,6.01,4.96,8.25,2,4.89,2.57,26.12,68.2,113.8,1500.0,8.03,Active,Unfit
32,7311,79,1118,6.4,7.45,4.66,2,10.0,2.13,20.23,63.4,107.7,1500.0,8.64,Active,Moderate
43,10403,107,1011,5.97,6.88,5.98,2,2.65,1.72,16.0,56.0,81.8,1500.0,9.56,Active,Moderate
59,6594,61,1097,5.7,7.77,4.59,0,5.16,1.98,25.26,69.7,101.2,1500.0,6.45,Sedentary,Moderate
30,9291,122,1087,5.65,5.71,5.71,4,4.9,3.35,18.5,60.1,94.0,1500.0,10.0,Active,Moderate
49,7639,62,1130,5.58,7.84,3.99,5,6.43,0.5,24.28,63.6,109.9,1500.0,5.01,Athlete,Moderate
56,5166,50,1100,7.15,10.0,2.99,0,4.88,2.61,31.83,70.2,122.8,1500.0,2.34,Sedentary,Moderate
49,5484,60,1186,6.73,6.6,5.62,3,4.18,3.79,31.91,70.4,126.4,1500.0,10.0,Active,Unfit
21,8011,61,962,6.72,7.22,4.58,0,9.58,0.86,16.33,57.2,97.2,1500.0,7.34,Sedentary,Moderate
47,6878,84,1018,5.09,6.65,6.27,3,5.88,2.1,26.51,66.9,109.9,1500.0,8.11,Active,Moderate
54,11710,100,1094,4.03,3.54,7.69,1,3.69,2.43,17.07,53.5,95.0,1500.0,6.14,Sedentary,Unfit
40,3953,38,1141,6.77,5.57,6.35,4,5.94,2.25,30.18,71.3,98.8,1500.0,8.53,Active,Unfit
56,6633,62,1155,5.29,7.13,9.49,0,8.12,3.09,28.09,65.4,108.5,1500.0,5.31,Sedentary,Unfit
62,3594,31,1114,6.44,4.97,4.67,2,9.39,3.48,30.23,74.3,123.8,1500.0,10.0,Active,Unfit
32,5144,43,1051,9.56,10.0,4.58,4,3.15,3.28,22.99,74.7,117.9,1500.0,4.93,Active,Moderate
60,12202,126,1036,7.44,4.75,8.68,4,6.99,3.11,16.0,62.3,112.8,1500.0,6.56,Active,Moderate
46,1798,10,1170,5.36,6.35,4.9,3,7.83,3.62,31.97,69.2,113.0,1500.0,8.03,Active,Unfit
53,5601,42,1030,6.71,6.43,8.2,4,4.01,2.45,29.48,68.6,98.4,1500.0,7.39,Active,Unfit
30,8082,88,1049,6.84,6.47,5.04,4,4.98,3.15,23.96,67.0,138.2,1500.0,7.19,Active,Moderate
49,8418,87,1093,5.95,8.44,4.52,4,4.99,2.37,19.71,66.0,111.8,1500.0,6.14,Active,Moderate
24,4372,27,1129,6.8,7.46,5.2,2,6.89,2.46,33.34,74.1,112.4,1500.0,8.23,Active,Unfit
39,7603,85,1141,6.26,5.67,7.75,2,5.69,4.42,22.37,66.5,95.4,1500.0,7.82,Active,Moderate
45,3763,45,1074,5.31,4.21,8.17,5,6.57,3.43,24.35,76.4,115.8,1500.0,5.92,Athlete,Unfit
19,7067,66,1144,7.47,8.96,3.32,2,6.44,1.55,22.21,68.2,89.4,1500.0,2.82,Active,Fit
59,4753,30,1167,6.03,6.26,4.06,1,4.61,2.26,26.54,71.7,107.1,1500.0,5.94,Sedentary,Unfit
62,3791,61,1029,9.46,7.64,7.06,1,6.23,3.08,33.89,69.6,116.6,1500.0,10.0,Sedentary,Unfit
23,4174,51,1073,5.31,5.12,6.96,3,7.93,2.65,30.64,72.0,107.0,1500.0,8.16,Active,Unfit
45,7263,112,994,6.56,6.5,6.37,3,6.77,3.05,23.94,59.6,104.3,1500.0,10.0,Active,Moderate
45,9271,98,1071,5.39,3.91,6.23,4,4.17,3.05,23.91,62.8,102.9,1500.0,8.23,Active,Fit
61,9833,101,995,7.84,9.08,5.3,2,8.39,3.02,16.0,59.5,111.1,1500.0,8.8,Active,Moderate
61,9143,99,1016,5.98,4.18,4.74,2,3.09,2.17,22.61,62.9,117.2,1500.0,9.4,Active,Moderate
37,10992,134,1022,8.44,8.8,4.05,0,6.78,3.06,16.1,59.4,93.0,1500.0,6.63,Sedentary,Moderate
47,10695,108,1002,7.68,8.95,3.43,5,4.66,2.7,16.0,59.7,89.9,1500.0,4.4,Athlete,Moderate
28,7932,75,1069,5.73,5.75,9.68,2,3.56,3.26,20.63,64.0,85.8,1500.0,6.59,Active,Unfit
45,8130,76,934,7.03,9.27,3.99,3,3.72,2.19,24.12,64.5,105.5,1500.0,5.38,Active,Moderate
42,6816,50,1109,4.81,5.71,6.19,0,5.81,2.82,28.82,69.8,103.7,1500.0,10.0,Sedentary,Unfit
56,10614,104,993,7.79,6.76,6.86,0,3.7,3.32,17.08,57.7,94.1,1500.0,10.0,Sedentary,Moderate
50,1889,25,1151,7.45,10.0,2.73,0,6.15,2.68,34.92,73.2,105.8,1500.0,1.81,Sedentary,Unfit
18,6485,45,951,6.59,6.76,6.67,1,2.98,3.56,26.7,66.8,112.6,1500.0,10.0,Sedentary,Unfit
44,4935,60,1139,5.84,4.15,3.44,3,7.86,3.64,30.12,70.1,104.4,1500.0,9.15,Active,Moderate
30,8066,77,1062,5.01,5.14,5.57,3,4.0,2.24,22.71,64.9,90.6,1500.0,10.0,Active,Moderate
58,5213,70,1052,6.61,6.38,3.59,0,2.68,1.41,25.22,72.0,88.6,1500.0,7.61,Sedentary,Unfit
20,7027,77,989,4.08,3.57,7.96,1,6.67,2.9,23.02,66.9,100.3,1500.0,7.01,Sedentary,Unfit
56,4412,53,1066,6.13,5.37,7.52,3,2.21,2.97,33.62,69.8,109.3,1500.0,8.36,Active,Unfit
23,7657,94,1109,4.56,4.14,7.12,3,4.2,2.81,20.14,65.8,108.8,1500.0,6.34,Active,Unfit
25,9935,118,1055,5.92,5.64,7.75,1,6.35,2.1,19.67,61.8,100.9,1500.0,8.7,Sedentary,Moderate
44,10973,102,959,5.95,3.01,7.77,1,6.06,1.8,16.0,62.5,106.4,1500.0,4.33,Sedentary,Moderate
26,7185,45,1153,4.6,4.69,5.44,0,4.32,3.0,29.57,70.1,127.5,1500.0,7.97,Sedentary,Unfit
54,8544,112,935,5.81,6.52,5.24,2,9.45,2.93,20.97,61.7,110.4,1500.0,8.83,Active,Moderate
50,4333,35,1031,6.6,3.35,8.18,2,6.1,1.31,30.53,67.5,109.9,1500.0,5.35,Active,Unfit
59,6312,55,1153,7.37,7.38,5.7,3,8.71,1.05,22.64,64.6,115.6,1500.0,8.48,Active,Moderate
61,3736,35,1036,6.97,8.19,5.52,2,7.15,2.67,29.82,68.3,100.6,1500.0,7.1,Active,Moderate
41,5250,38,1136,6.35,2.79,9.1,5,10.0,3.51,33.69,66.4,94.1,1500.0,4.38,Athlete,Unfit
32,4148,39,1121,6.81,6.82,4.84,4,9.82,2.82,30.08,73.7,135.4,1500.0,7.15,Active,Moderate
49,6330,79,1111,8.04,10.0,2.78,4,5.89,2.63,22.41,66.8,104.0,1500.0,1.06,Active,Moderate
49,6287,81,1074,4.93,7.03,4.42,3,4.48,1.72,18.61,64.9,105.3,1500.0,7.59,Active,Unfit
41,9634,85,923,4.26,1.98,7.78,3,5.79,1.48,16.0,61.0,104.8,1500.0,4.11,Active,Unfit
58,6712,91,931,7.07,5.92,6.27,0,3.75,2.5,28.8,64.6,102.6,1500.0,9.47,Sedentary,Moderate
29,7330,53,1103,8.04,7.58,2.29,4,8.36,1.58,22.12,63.7,108.7,1500.0,2.3,Active,Fit
56,6925,76,1017,5.18,7.05,6.43,1,7.19,2.19,25.65,65.8,86.0,1500.0,8.92,Sedentary,Moderate
19,11176,124,1154,6.04,4.79,8.13,1,3.48,2.81,16.0,57.4,99.4,1500.0,7.48,Sedentary,Unfit
20,8689,93,942,7.36,7.12,7.58,6,2.99,1.6,21.42,58.9,80.4,1500.0,8.96,Athlete,Moderate
54,7860,71,1145,7.24,6.94,7.24,4,9.98,1.7,29.93,63.6,108.5,1500.0,10.0,Active,Moderate
34,7769,85,1043,7.1,8.86,8.31,4,2.94,3.25,21.81,66.2,113.1,1500.0,10.0,Active,Moderate
19,11632,124,947,7.74,8.32,7.27,4,5.35,3.0,16.0,57.1,103.7,1500.0,9.85,Active,Moderate
19,9305,104,1102,5.18,6.57,2.62,6,6.18,3.13,18.36,69.2,119.8,1500.0,5.54,Athlete,Moderate
45,5412,52,1143,6.9,4.48,7.19,2,4.55,3.6,26.43,66.8,95.6,1500.0,7.52,Active,Unfit
40,4877,44,1027,7.1,3.95,6.36,1,4.51,2.69,21.74,72.5,99.4,1500.0,7.77,Sedentary,Unfit
54,10193,92,989,6.03,8.33,1.67,2,4.58,0.5,16.0,61.5,86.2,1500.0,2.35,Active,Moderate
49,6460,30,1103,5.41,4.41,7.37,7,5.88,3.45,26.38,67.5,102.3,1500.0,7.97,Athlete,Unfit
50,8007,81,1019,7.14,8.81,3.36,4,4.31,2.1,25.12,62.0,81.0,1500.0,4.51,Active,Moderate
18,5721,69,1082,5.88,8.36,2.67,3,5.52,3.46,23.79,67.5,108.7,1500.0,2.39,Active,Moderate
36,6478,44,1014,7.81,7.72,6.5,2,3.77,2.47,27.93,68.4,113.4,1500.0,8.7,Active,Unfit
19,10216,110,1002,8.01,7.36,6.0,4,9.0,4.0,18.5,58.1,91.3,1500.0,9.31,Active,Fit
61,5710,71,979,5.24,6.97,7.22,2,4.63,2.26,19.67,62.9,104.2,1500.0,10.0,Active,Moderate
43,3343,17,1200,7.54,8.49,7.5,1,6.41,3.35,27.2,72.2,111.3,1500.0,10.0,Sedentary,Unfit
49,9533,82,995,6.69,6.01,5.55,5,5.03,2.36,21.61,59.2,102.9,1500.0,9.57,Athlete,Moderate
23,12034,112,947,6.41,4.98,6.68,1,3.77,2.16,16.64,53.4,92.1,1500.0,7.53,Sedentary,Moderate
49,6589,84,904,6.09,6.45,10.0,3,2.12,1.46,18.56,66.4,87.4,1500.0,7.02,Active,Unfit
21,8245,77,1047,5.4,6.68,3.5,1,5.97,1.2,17.74,61.3,114.6,1500.0,8.46,Sedentary,Moderate
28,4536,42,1138,8.25,4.58,5.97,0,6.06,3.62,23.78,70.5,127.5,1500.0,9.38,Sedentary,Unfit
